[2025-06-06T10:09:16.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-06T10:09:16.358+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [queued]>
[2025-06-06T10:09:16.375+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_landing.trigger_etl_ods_dag scheduled__2025-06-05T00:00:00+00:00 [queued]>
[2025-06-06T10:09:16.376+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-06-06T10:09:21.631+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2093 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.633+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2183 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.636+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2482 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.638+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2548 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.649+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4365 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.651+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4481 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.654+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4516 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.656+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4580 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.658+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4623 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.660+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4678 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.667+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5689 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.670+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5755 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.672+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5800 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.674+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5861 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.690+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:6986 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.692+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7051 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.694+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7096 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.696+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7151 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.700+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7588 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.703+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7661 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.706+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7832 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.708+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7903 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.711+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7952 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.715+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8019 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.727+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8812 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.731+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8877 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.733+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8921 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.736+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8972 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.742+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:10035 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.745+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:10096 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.754+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11122 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.756+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11183 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.758+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11224 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.761+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11284 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.764+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11529 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.766+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11590 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.769+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11631 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.771+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11692 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.774+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11855 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.776+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11911 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.779+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12053 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.781+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12115 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.787+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12932 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.790+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13034 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.792+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13105 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.795+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13196 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.799+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13694 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.802+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13770 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.804+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13823 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.806+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13889 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.810+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14277 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.813+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14337 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.815+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14377 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.818+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14431 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.821+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14727 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.823+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14807 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.827+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14863 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.830+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14924 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.833+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:15178 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.836+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:15249 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.842+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16131 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.844+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16203 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.846+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16252 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.850+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16308 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.855+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16668 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.859+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16729 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.865+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17551 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.868+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17613 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.870+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17655 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.872+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17728 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.875+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17884 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.877+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17945 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.879+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17986 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.882+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18056 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.885+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18196 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.887+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18257 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.902+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21223 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.909+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21283 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.914+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21852 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.916+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21916 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.919+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21959 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.921+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22018 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.925+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22324 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.927+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22390 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.929+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22435 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.932+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22500 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.934+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22636 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.937+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22697 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.940+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23166 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.943+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23234 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.946+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23579 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.949+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23651 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.952+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23700 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.954+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23756 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.958+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24097 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.961+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24169 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.963+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24218 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.966+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24274 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.969+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24543 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.971+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24604 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.975+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24931 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.978+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24986 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.990+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27411 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.992+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27471 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.994+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27511 SyntaxWarning: invalid escape sequence '\d'
[2025-06-06T10:09:21.997+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27567 SyntaxWarning: invalid escape sequence '\d'
